"Time","Value"
2024-07-15 15:13:15,316 W
2024-07-15 15:13:20,323 W
2024-07-15 15:13:25,295 W
2024-07-15 15:13:30,301 W
2024-07-15 15:13:35,289 W
2024-07-15 15:13:40,296 W
2024-07-15 15:13:45,350 W
2024-07-15 15:13:50,273 W
2024-07-15 15:13:55,292 W
2024-07-15 15:14:00,315 W
2024-07-15 15:14:05,310 W
2024-07-15 15:14:10,315 W
2024-07-15 15:14:15,271 W
2024-07-15 15:14:20,332 W
2024-07-15 15:14:25,281 W
2024-07-15 15:14:30,326 W
2024-07-15 15:14:35,331 W
2024-07-15 15:14:40,309 W
2024-07-15 15:14:45,308 W
2024-07-15 15:14:50,272 W
2024-07-15 15:14:55,321 W
2024-07-15 15:15:00,286 W
2024-07-15 15:15:05,292 W
2024-07-15 15:15:10,334 W
2024-07-15 15:15:15,290 W
2024-07-15 15:15:20,295 W
2024-07-15 15:15:25,289 W
2024-07-15 15:15:30,309 W
2024-07-15 15:15:35,299 W
2024-07-15 15:15:40,296 W
2024-07-15 15:15:45,280 W
2024-07-15 15:15:50,280 W
2024-07-15 15:15:55,286 W
2024-07-15 15:16:00,283 W
2024-07-15 15:16:05,328 W
